City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,igarka,67.4667,86.5833,32.02,92.0,100.0,13.0,RU,1717329600.0
1,puerto natales,-51.7236,-72.4875,27.82,90.0,21.0,3.87,CL,1717329603.0
2,waitangi,-43.9535,-176.5597,49.82,81.0,82.0,11.99,NZ,1717329607.0
3,puerto ayora,-0.7393,-90.3518,68.56,97.0,91.0,3.51,EC,1717329548.0
4,saint-pierre,-21.3393,55.4781,78.48,65.0,0.0,18.41,RE,1717329612.0
5,whitehorse,60.7161,-135.0538,41.77,57.0,75.0,15.01,CA,1717329220.0
6,sitka,57.0531,-135.33,46.83,90.0,100.0,4.0,US,1717329618.0
7,puerto san jose,13.9256,-90.8244,80.91,82.0,100.0,5.64,GT,1717329625.0
8,papatowai,-46.5619,169.4708,48.99,78.0,100.0,22.1,NZ,1717329630.0
9,west island,-12.1568,96.8225,80.58,78.0,40.0,16.11,CC,1717329632.0
10,ad dawadimi,24.5077,44.3924,106.95,6.0,3.0,14.56,SA,1717329635.0
11,as salamiyah,35.0113,37.0532,95.7,12.0,0.0,6.2,SY,1717329637.0
12,grytviken,-54.2811,-36.5092,26.38,73.0,10.0,4.59,GS,1717329549.0
13,adamstown,-25.066,-130.1015,72.59,81.0,78.0,19.17,PN,1717329642.0
14,los frentones,-26.4077,-61.4137,67.86,55.0,2.0,8.39,AR,1717329644.0
15,constantia,44.1833,28.65,90.7,63.0,68.0,6.08,RO,1717329646.0
16,crane,31.3974,-102.3501,69.6,77.0,65.0,15.73,US,1717329648.0
17,severo-yeniseyskiy,60.3725,93.0408,53.58,49.0,93.0,15.99,RU,1717329650.0
18,port-aux-francais,-49.35,70.2167,35.19,76.0,92.0,40.02,TF,1717329652.0
19,galliano,29.4422,-90.2992,77.0,88.0,0.0,0.0,US,1717329654.0
20,edinburgh of the seven seas,-37.0676,-12.3116,55.11,73.0,87.0,26.82,SH,1717329656.0
21,bilibino,68.0546,166.4372,32.16,83.0,43.0,5.53,RU,1717329659.0
22,lebu,-37.6167,-73.65,43.38,81.0,100.0,8.1,CL,1717329661.0
23,cabo san lucas,22.8909,-109.9124,72.61,65.0,94.0,11.18,MX,1717328835.0
24,isafjordur,66.0755,-23.124,42.84,75.0,40.0,4.61,IS,1717329666.0
25,bredasdorp,-34.5322,20.0403,59.04,94.0,97.0,8.12,ZA,1717329668.0
26,bethel,41.3712,-73.414,70.05,77.0,99.0,3.18,US,1717329608.0
27,dudinka,69.4058,86.1778,34.68,99.0,84.0,8.99,RU,1717329671.0
28,northam,51.0333,-4.2167,59.67,76.0,13.0,6.96,GB,1717329672.0
29,praia,14.9215,-23.5087,81.14,54.0,20.0,19.57,CV,1717329674.0
30,khorugh,37.4897,71.553,65.23,14.0,34.0,4.45,TJ,1717329675.0
31,chos malal,-37.3781,-70.2709,36.43,58.0,47.0,2.93,AR,1717329677.0
32,santa eularia des riu,38.9846,1.5341,74.3,70.0,20.0,10.36,ES,1717329678.0
33,kulia village,,,,,,,,
34,taoudenni,22.6783,-3.9836,100.9,14.0,0.0,12.28,ML,1717329682.0
35,jiangyou,31.7667,104.7167,70.93,72.0,93.0,3.6,CN,1717329684.0
36,jimenez,28.3333,-105.4,69.94,15.0,13.0,1.61,MX,1717329685.0
37,metkovic,43.0542,17.6483,82.87,47.0,47.0,6.22,HR,1717329687.0
38,georgetown,5.4112,100.3354,89.55,58.0,20.0,6.91,MY,1717328997.0
39,del rio,29.3627,-100.8968,81.0,80.0,100.0,16.11,US,1717329689.0
40,atafu village,-8.5421,-172.5159,83.03,76.0,99.0,1.57,TK,1717329691.0
41,hasaki,35.7333,140.8333,63.28,83.0,59.0,15.19,JP,1717329692.0
42,westport,41.1415,-73.3579,72.79,62.0,96.0,3.0,US,1717329654.0
43,talnakh,69.4865,88.3972,34.21,99.0,100.0,0.85,RU,1717329695.0
44,sengkang,-4.1279,120.0297,76.71,94.0,100.0,3.36,ID,1717329696.0
45,ilulissat,69.2167,-51.1,32.02,74.0,75.0,5.75,GL,1717329697.0
46,anadyr,64.75,177.4833,28.9,92.0,20.0,1.99,RU,1717329670.0
47,ribeira grande,38.5167,-28.7,64.8,88.0,75.0,12.66,PT,1717329701.0
48,ampasimanolotra,,,,,,,,
49,nuuk,64.1835,-51.7216,36.21,93.0,100.0,6.91,GL,1717329704.0
50,loushanguan,28.1375,106.82,61.93,96.0,100.0,4.0,CN,1717329705.0
51,hawaiian paradise park,19.5933,-154.9731,73.87,92.0,100.0,4.61,US,1717329707.0
52,mahabe,,,,,,,,
53,udachny,66.4167,112.4,56.44,28.0,98.0,7.11,RU,1717329710.0
54,kingston,17.997,-76.7936,81.55,74.0,75.0,11.5,JM,1717329690.0
55,ushuaia,-54.8,-68.3,37.06,70.0,0.0,18.41,AR,1717329552.0
56,kirishi,59.4471,32.0205,79.03,53.0,62.0,7.85,RU,1717329715.0
57,badger,64.8,-147.5333,56.14,78.0,100.0,2.24,US,1717329716.0
58,turgenevo,54.8455,46.3297,74.64,67.0,90.0,12.97,RU,1717329718.0
59,red bluff,40.1785,-122.2358,66.33,32.0,0.0,4.61,US,1717329631.0
60,taksimo,56.3444,114.8794,59.25,77.0,97.0,0.96,RU,1717329720.0
61,wailua homesteads,22.0669,-159.378,77.43,89.0,47.0,1.99,US,1717329722.0
62,chaozhou,23.6651,116.6379,78.66,96.0,98.0,5.35,CN,1717329723.0
63,zhezqazghan,47.7833,67.7667,72.18,26.0,0.0,17.9,KZ,1717329724.0
64,alotau,,,,,,,,
65,san patricio,28.017,-97.5169,84.09,90.0,85.0,9.37,US,1717329727.0
66,lompoc,34.6391,-120.4579,55.78,83.0,100.0,18.99,US,1717329544.0
67,hermanus,-34.4187,19.2345,59.36,86.0,90.0,11.59,ZA,1717329730.0
68,nova vicosa,-17.8919,-39.3719,77.5,65.0,66.0,11.88,BR,1717329731.0
69,mount isa,-20.7333,139.5,56.97,58.0,0.0,9.22,AU,1717329732.0
